Chloride,Nitrate,Sulfate,Sodium,Potassium,Magnesium,Calcium,Site,,
7.621677376,0.847180695,5.802258477,7.518078416,2.745844615,2.435889584,6.526789361,BS14,,
5.13163542,0.576947377,5.817180503,5.640049114,2.612480405,2.236224331,6.687185017,BS15,,
2.922638042,0.129404429,3.942862786,4.255423899,1.812321165,7.292729899,10.5865224,BS16,,
7.753952649,0.563697711,13.08265412,6.72810982,3.309586559,2.240579994,9.563977072,BS17,,
8.878713837,0.710532643,13.26926161,9.075195734,3.640199229,1.474480669,9.653105366,BS18,,
4.66619969,0.439939067,8.762073214,4.715667434,2.665463106,2.118597486,8.086606989,BS01,,
5.05849258,0.27666275,9.075386247,5.833816418,3.314038382,4.142150099,10.10613188,BS02,,
5.673401125,0.51722832,10.07294778,5.813635682,3.108236683,2.322401133,9.419997015,BS03,,
5.670029577,0.509891062,10.27695546,5.879263607,3.095027841,2.357629148,9.983190414,BS04,,
6.006738752,0.56445178,5.55254127,5.753852837,2.420959997,2.397010038,7.383598192,BS05,,
4.557390397,0.54407084,5.771391029,4.373952127,2.77409542,2.096190468,7.070538307,BS06,,
5.997603393,0.2307019,3.790451737,5.804162646,1.977694958,3.177952662,7.489582523,BS07,,
4.496276172,0.678216466,3.450210796,3.871311945,1.861966762,1.476978919,3.976628502,BS08,,
4.324931898,0.56232988,4.94974374,4.45157111,2.233668716,1.705929371,5.918012547,BS09,,
5.11193867,0.692057434,6.36223784,4.767420176,2.714981577,2.463915018,7.907383065,BS10,,
6.985903299,0.829800587,16.53888387,8.652548202,2.820343314,5.122632664,15.16166714,BS11,,
